time_s,vEgo,aEgo,vEgoRaw,standstill,steeringAngleDeg,steeringTorque,steeringPressed,gas,gasPressed,brake,brakePressed,cruiseState_enabled,cruiseState_available,cruiseState_speed,cc_enabled,cc_latActive,cc_longActive,leftBlinker,rightBlinker,actuators_accel,actuators_torque,actuators_speed,actuators_curvature,co_accel,co_brake,co_gas,co_steer,co_steeringAngleDeg,co_curvature,cs_enabled,cs_active,cs_curvature,cs_desiredCurvature,cs_vCruise,cs_longControlState,cs_forceDecel
0.280000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.290000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.300000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.310000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.320000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.330000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.340000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.350000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.360000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.370000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.380000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.390000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.400000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.410000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.420000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.430000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.440000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.450000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.460000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.470000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.480000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
0.490000,4.009917,0.000000,4.009917,0,0.100000,-93.000000,0,0.000000,0,0.687500,1,0,1,0.000000,0,0,0,0,0,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,-0.005928,0.000000,0.000000,off,0
