method,feature,target,correlation,n
pearson,faceDetected__max,reaction_smoothness_score,,31
pearson,faceDetected__max,steering_smoothness_score,,31
pearson,faceDetected__max,longitudinal_smoothness_score,,31
pearson,faceDetected__max,lateral_stability_score,,31
pearson,faceDetected__std,reaction_smoothness_score,,31
pearson,faceDetected__std,steering_smoothness_score,,31
pearson,faceDetected__std,longitudinal_smoothness_score,,31
pearson,faceDetected__std,lateral_stability_score,,31
pearson,vEgo__mean,reaction_smoothness_score,,31
pearson,vEgo__mean,steering_smoothness_score,-0.4072829898111899,31
pearson,vEgo__mean,longitudinal_smoothness_score,-0.10731154873778588,31
pearson,vEgo__mean,lateral_stability_score,-0.10645784959341427,31
pearson,vEgo__max,reaction_smoothness_score,,31
pearson,vEgo__max,steering_smoothness_score,-0.41162340293922445,31
pearson,vEgo__max,longitudinal_smoothness_score,-0.08467695238110512,31
pearson,vEgo__max,lateral_stability_score,-0.08954536934398788,31
pearson,vEgo__std,reaction_smoothness_score,,31
pearson,vEgo__std,steering_smoothness_score,0.17059920971314377,31
pearson,vEgo__std,longitudinal_smoothness_score,0.24896722324662687,31
pearson,vEgo__std,lateral_stability_score,0.25429342669191807,31
pearson,aEgo__mean,reaction_smoothness_score,,31
pearson,aEgo__mean,steering_smoothness_score,0.348050993851275,31
pearson,aEgo__mean,longitudinal_smoothness_score,0.2331512646620315,31
pearson,aEgo__mean,lateral_stability_score,0.1273804348456011,31
pearson,aEgo__max,reaction_smoothness_score,,31
pearson,aEgo__max,steering_smoothness_score,0.24310425159758367,31
pearson,aEgo__max,longitudinal_smoothness_score,0.2282278475664632,31
pearson,aEgo__max,lateral_stability_score,0.1604906171458621,31
pearson,aEgo__std,reaction_smoothness_score,,31
pearson,aEgo__std,steering_smoothness_score,-0.004234900936194107,31
pearson,aEgo__std,longitudinal_smoothness_score,0.03281991716061591,31
pearson,aEgo__std,lateral_stability_score,0.20919247498270574,31
pearson,vEgoRaw__mean,reaction_smoothness_score,,31
pearson,vEgoRaw__mean,steering_smoothness_score,-0.4074489728349137,31
pearson,vEgoRaw__mean,longitudinal_smoothness_score,-0.10742772533926903,31
pearson,vEgoRaw__mean,lateral_stability_score,-0.10653181357626623,31
pearson,vEgoRaw__max,reaction_smoothness_score,,31
pearson,vEgoRaw__max,steering_smoothness_score,-0.41091221090217883,31
pearson,vEgoRaw__max,longitudinal_smoothness_score,-0.08545073585726287,31
pearson,vEgoRaw__max,lateral_stability_score,-0.09043543186891591,31
pearson,vEgoRaw__std,reaction_smoothness_score,,31
pearson,vEgoRaw__std,steering_smoothness_score,0.17038943550711028,31
