event_id,route_id,driver_id,vehicle_model,t_event,takeover_type,reaction_time_s,steering_rate_std,steering_reversal_count,peak_deceleration,peak_deceleration_cost,acceleration_std,lane_offset_variance,lane_center_variance,yaw_rate_variance,reaction_smoothness_score,steering_smoothness_score,longitudinal_smoothness_score,lateral_stability_score
TAKE_00162,driver_97/route_22,driver_97,HONDA_CIVIC,3265.24,Mixed,0.0,10.160930388261717,1,-0.210521,0.210521,0.37006342150431454,0.11199402149445331,0.05667440312563995,0.00020262856122084164,1.0,0.7717950212460136,0.768986212545697,0.8474257457438239
TAKE_00163,driver_97/route_22,driver_97,HONDA_CIVIC,3903.25,Mixed,0.0,5.776750958936957,2,-0.470066,0.470066,0.30042859316343457,0.0023862051908758713,0.0017342962800961533,0.00014178116898478404,1.0,0.8377260797467408,0.7590150023746518,0.9729769750087643
TAKE_00164,driver_97/route_22,driver_97,HONDA_CIVIC,3922.43,Mixed,0.0,3.9995868795315697,1,-2.305805,2.305805,0.5524803082551077,0.027303347619045966,0.016989899754098647,0.00015311379074090808,1.0,0.8963917542065115,0.2993524012959279,0.9448677201829272
TAKE_00165,driver_97/route_22,driver_97,HONDA_CIVIC,3944.69,Mixed,0.0,10.152780459662965,3,-0.246645,0.246645,0.14398631129662998,0.014904865737539394,0.010293554113356723,0.0002815111092010409,1.0,0.7265052863519939,0.8806880993161259,0.9356751062327596
TAKE_00166,driver_97/route_22,driver_97,HONDA_CIVIC,3979.4,Mixed,0.0,9.555717658855873,0,-1.776114,1.776114,0.33753132957650706,0.009241658913662614,0.0035958267009003767,0.00023778367257362126,1.0,0.8067611066158905,0.5063143483873398,0.949180362761884
TAKE_00167,driver_97/route_23,driver_97,HONDA_CIVIC,102.7,Mixed,0.0,4.701086533293518,2,-2.798959,2.798959,0.628781983627452,0.0006609661668104316,0.0005073576316812676,0.00016772823230998892,1.0,0.8594785227012849,0.17137878154563885,0.9703004049185002
TAKE_00168,driver_97/route_23,driver_97,HONDA_CIVIC,264.95,Mixed,0.0,4.4333779673766704,2,-2.272913,2.272913,0.6108146167898605,0.010801715608983666,0.0033124277760897933,0.0003818855612502104,1.0,0.8648922141553512,0.274740814976108,0.9226230129975543
TAKE_00169,driver_97/route_23,driver_97,HONDA_CIVIC,650.65,Mixed,0.0,4.635254198262585,4,-0.120987,0.120987,0.2881739649027441,0.002826394313289169,0.0016361770260567383,0.00013108675457284606,1.0,0.8153552605709679,0.8277783758904762,0.9743644451668823
TAKE_00170,driver_97/route_23,driver_97,HONDA_CIVIC,964.79,Mixed,0.0,13.543358133679805,1,-0.836889,0.836889,0.9566971764405059,0.005764125060445129,0.003582028461002748,0.00010664042622679958,1.0,0.7033944449825915,0.3504999537327985,0.975509029585024
TAKE_00171,driver_97/route_23,driver_97,HONDA_CIVIC,1037.61,Steering,0.0,6.442217668017266,3,-0.827041,0.827041,0.11732507943386385,0.043803788939934446,0.036480875126526265,0.0003101870552559247,1.0,0.8015415184057273,0.7909414068202132,0.9003878925264331
TAKE_00172,driver_97/route_23,driver_97,HONDA_CIVIC,1092.64,Mixed,0.0,2.967591989510044,1,-0.769287,0.769287,0.27502946619041224,0.0013510682041274523,0.001216685091188117,5.812035093548173e-05,1.0,0.9172610973207882,0.7188371898787901,0.9885311189940515
TAKE_00173,driver_97/route_23,driver_97,HONDA_CIVIC,1173.2,Mixed,0.0,1.9734533283133289,1,-0.722567,0.722567,0.27866162221846863,0.00047222296111776286,0.00036865879344255244,5.6779444230055376e-05,1.0,0.9373648992138859,0.7252848710823143,0.9896853174264696
TAKE_00174,driver_97/route_23,driver_97,HONDA_CIVIC,1227.96,Mixed,0.0,2.6112201503737893,1,0.619925,0.0,0.22517361884293471,0.0008683468989452935,0.0007318258536261961,8.545885364084164e-05,1.0,0.9244677669071513,0.8823171927397564,0.9843099531966022
TAKE_00175,driver_97/route_23,driver_97,HONDA_CIVIC,1417.64,Mixed,0.0,1.2585649013837457,1,-1.242134,1.242134,0.2831325519484929,0.028616546773809363,0.014712964387105733,0.00015774693732037654,1.0,0.9518216102056503,0.6301338942767271,0.9426883454927023
TAKE_00176,driver_97/route_23,driver_97,HONDA_CIVIC,1474.52,Mixed,0.0,7.928874417475536,1,-2.22054,2.22054,0.4747806817900917,0.4764370818941576,0.3010419154807282,0.0003539969972066223,1.0,0.816932397753406,0.3551922228294686,0.4387818290343587
TAKE_00920,driver_54/route_1,driver_54,TESLA_AP3_MODEL_3,2328.07,Brake,0.0,2.3311318594873542,17,-1.07531,1.07531,0.4913849105106775,,,0.00031436492608409746,1.0,0.5664954416311698,0.5510957488530763,0.891271135391103
TAKE_00921,driver_54/route_1,driver_54,TESLA_AP3_MODEL_3,3447.74,Brake,0.0,0.6095086131726933,2,-1.079872,1.079872,0.3627648433179462,,,4.255924425060908e-05,1.0,0.9422197691158081,0.6175016908528163,0.9852801062649605
TAKE_00922,driver_54/route_1,driver_54,TESLA_AP3_MODEL_3,3743.78,Steering,0.0,4.798567465356827,7,-1.883905,1.883905,0.5815671772229678,,,0.00022462998142285713,1.0,0.7438708673095075,0.3595179959824962,0.9223076087352978
TAKE_00923,driver_54/route_1,driver_54,TESLA_AP3_MODEL_3,5091.58,Mixed,0.0,5.981084613385604,22,-0.712454,0.712454,0.20128942783525927,,,0.00012179132276354374,1.0,0.37904852223671265,0.7675285751033488,0.9578762414489163
TAKE_00924,driver_54/route_1,driver_54,TESLA_AP3_MODEL_3,5226.28,Mixed,0.0,8.559591810544852,10,-0.9002,0.9002,0.6996545994789404,,,0.00022942648878983388,1.0,0.5996323667934973,0.47352873918657573,0.9206486488551486
TAKE_00925,driver_54/route_1,driver_54,TESLA_AP3_MODEL_3,5645.98,Steering,0.0,15.859332746896069,4,-1.463756,1.463756,0.5139483720863429,,,0.0004150365178793799,1.0,0.588378219659323,0.46991221919679826,0.8564520224238275
