time_s,gps_lat,gps_lon,gps_alt,gps_speed,gps_bearing,gps_hAcc,gps_vAcc,gps_speedAcc,gps_bearingAcc,gps_unixTimestamp,gps_hasFix,gps_source,gps_flags,gps_phone_lat,gps_phone_lon,gps_phone_alt,gps_phone_speed,gps_phone_bearing,gps_phone_hAcc,gps_phone_hasFix
11.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
11.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
12.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
13.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
14.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
15.900000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.000000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.100000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.200000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.300000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.400000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.500000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.600000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.700000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
16.800000,,,,,,,,,,,,,,28.197838,-82.228243,-4.362741,5.372456,21.218065,0.000000,1
