time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
271.180000,9.647248,0.410942,0.532061,-0.028579,0.002931,-0.001615
271.190000,9.650293,0.524721,0.484800,-0.027398,0.002716,-0.002689
271.200000,9.749190,0.683241,0.455986,-0.027642,0.001245,-0.003464
271.210000,9.727576,0.610975,0.581732,-0.028251,0.001743,-0.002414
271.220000,9.780269,0.402997,0.638984,-0.029601,0.000680,-0.001069
271.230000,9.743960,0.417675,0.603310,-0.027710,0.004650,-0.001443
271.240000,9.764347,0.561606,0.565943,-0.026975,0.002729,-0.002088
271.250000,9.780453,0.739284,0.522962,-0.029775,-0.000453,-0.001833
271.260000,9.710114,0.482623,0.609729,-0.027835,0.000386,-0.002417
271.270000,9.732684,0.329054,0.627026,-0.027013,-0.000599,-0.002089
271.280000,9.769898,0.524808,0.606956,-0.027967,-0.000320,-0.002527
271.290000,9.819017,0.660082,0.692128,-0.028081,-0.001241,-0.002153
271.300000,9.784477,0.627181,0.738653,-0.028304,0.001240,-0.000322
271.310000,9.692219,0.353439,0.725397,-0.027529,0.002424,-0.001601
271.320000,9.697640,0.456927,0.624369,-0.026736,0.003032,-0.001705
271.330000,9.694966,0.642873,0.524249,-0.027484,0.001311,-0.003526
271.340000,9.731422,0.574476,0.651803,-0.027382,-0.000419,-0.003580
271.350000,9.748527,0.371372,0.686218,-0.027642,0.001317,-0.001584
271.360000,9.645039,0.345316,0.698589,-0.027720,0.000244,-0.002160
271.370000,9.743804,0.529019,0.611454,-0.027996,-0.001043,-0.001700
271.380000,9.721079,0.701264,0.594695,-0.027336,0.000484,-0.002331
271.390000,9.718399,0.445761,0.632212,-0.028001,0.002133,-0.002522
271.400000,9.671543,0.285972,0.594074,-0.028869,0.001816,-0.002206
271.410000,9.731317,0.469451,0.527886,-0.028476,0.000203,-0.002436
271.420000,9.756654,0.697840,0.511196,-0.028726,-0.000194,-0.002540
271.430000,9.750460,0.630589,0.551396,-0.029016,0.001358,-0.002217
271.440000,9.626505,0.340457,0.605001,-0.027705,0.001713,-0.004283
271.450000,9.728995,0.434571,0.468561,-0.027074,0.001549,-0.003840
271.460000,9.750403,0.655968,0.479625,-0.026460,0.000385,-0.004093
271.470000,9.781962,0.621022,0.553985,-0.028281,0.000162,-0.002691
271.480000,9.733354,0.476142,0.607813,-0.029159,0.001810,-0.001089
271.490000,9.676447,0.407347,0.594142,-0.027357,0.001502,-0.003491
271.500000,9.741476,0.653709,0.460858,-0.027489,0.002007,-0.003360
271.510000,9.709998,0.688706,0.515057,-0.027449,0.000474,-0.003320
271.520000,9.760055,0.512889,0.559881,-0.027530,-0.000037,-0.003207
271.530000,9.699024,0.372168,0.588274,-0.027787,0.001795,-0.003367
271.540000,9.720169,0.505918,0.570612,-0.027730,0.002110,-0.003605
271.550000,9.739463,0.705274,0.586213,-0.027863,0.001911,-0.002724
271.560000,9.719595,0.657170,0.655408,-0.027731,0.002786,-0.002163
271.570000,9.693257,0.459093,0.647564,-0.027794,0.003189,-0.002716
271.580000,9.675599,0.398406,0.595965,-0.027891,0.002376,-0.003636
271.590000,9.723500,0.610687,0.553116,-0.028302,0.000446,-0.003142
271.600000,9.765194,0.684625,0.636818,-0.028021,0.000768,-0.002006
271.610000,9.761694,0.532995,0.679269,-0.028220,0.002827,-0.000877
271.620000,9.694849,0.360955,0.658116,-0.028386,0.002386,-0.001833
271.630000,9.727855,0.590452,0.579845,-0.029454,0.001663,-0.002121
271.640000,9.706297,0.669685,0.609651,-0.028558,0.000962,-0.001352
271.650000,9.776445,0.555647,0.622848,-0.028531,0.001312,-0.001391
271.660000,9.690173,0.337101,0.677339,-0.028238,0.000222,-0.002818
271.670000,9.680531,0.396797,0.632496,-0.027491,-0.000152,-0.002444
271.680000,9.787774,0.677761,0.585474,-0.028166,0.002016,-0.002097
271.690000,9.781108,0.614467,0.604493,-0.028143,0.001942,-0.001898
271.700000,9.701566,0.417830,0.600698,-0.028587,0.001141,-0.002018
271.710000,9.682046,0.390517,0.545424,-0.027633,0.001767,-0.002593
271.720000,9.768600,0.568993,0.497437,-0.028185,0.001198,-0.001897
271.730000,9.742439,0.614024,0.614556,-0.028057,0.000156,-0.002031
271.740000,9.728401,0.441600,0.652980,-0.027528,0.001138,-0.002632
271.750000,9.693726,0.381483,0.621293,-0.027614,0.001527,-0.002749
271.760000,9.705019,0.542339,0.511403,-0.026887,-0.000107,-0.002875
271.770000,9.665253,0.678655,0.521194,-0.026012,0.002110,-0.003187
271.780000,9.756891,0.574619,0.540061,-0.027112,0.002930,-0.002824
271.790000,9.652209,0.283113,0.587158,-0.029204,0.002242,-0.003548
271.800000,9.727597,0.422515,0.545457,-0.027507,0.001302,-0.001941
271.810000,9.746447,0.578186,0.518808,-0.027650,-0.000484,-0.002798
271.820000,9.707560,0.661752,0.564969,-0.027793,-0.002270,-0.003655
271.830000,9.679323,0.446578,0.600840,-0.027743,0.003003,-0.002952
271.840000,9.692134,0.429532,0.546853,-0.027947,0.002734,-0.003773
271.850000,9.767236,0.603526,0.520198,-0.028356,0.001304,-0.003542
271.860000,9.743264,0.620482,0.599136,-0.029773,-0.000754,-0.002292
271.870000,9.777449,0.515350,0.614642,-0.030283,-0.000334,-0.002055
271.880000,9.680395,0.480546,0.593462,-0.029355,0.002706,-0.002852
271.890000,9.705159,0.627450,0.505040,-0.028263,0.001728,-0.003683
271.900000,9.741802,0.706132,0.585601,-0.028306,0.001634,-0.002981
271.910000,9.719523,0.520134,0.674200,-0.030088,0.002221,-0.001066
271.920000,9.730749,0.364445,0.719682,-0.029562,0.002153,-0.000488
271.930000,9.756036,0.483572,0.661898,-0.028911,0.002138,-0.001725
271.940000,9.739833,0.736530,0.581338,-0.028414,0.003898,-0.001820
271.950000,9.750625,0.689379,0.617862,-0.028575,0.001420,-0.001405
271.960000,9.660238,0.418068,0.626475,-0.027124,0.001833,-0.001760
271.970000,9.716209,0.389828,0.576102,-0.026080,0.001696,-0.002138
271.980000,9.781686,0.559893,0.587983,-0.026349,0.001067,-0.002293
271.990000,9.752981,0.611882,0.674746,-0.027378,0.000666,-0.002250
272.000000,9.740952,0.501082,0.710087,-0.027917,0.001008,-0.001497
272.010000,9.660281,0.409393,0.658854,-0.028645,0.000880,-0.001865
272.020000,9.724643,0.558661,0.518853,-0.027722,0.000153,-0.002667
272.030000,9.738503,0.635251,0.516442,-0.027986,-0.000311,-0.003486
272.040000,9.753902,0.445901,0.550748,-0.028197,0.000742,-0.002833
272.050000,9.674268,0.320155,0.611354,-0.027989,0.001264,-0.002554
272.060000,9.696959,0.459515,0.541508,-0.028700,-0.000821,-0.002274
272.070000,9.757811,0.700693,0.504014,-0.029398,-0.002188,-0.000867
272.080000,9.717541,0.644273,0.629615,-0.029474,-0.000717,-0.001612
272.090000,9.642974,0.305914,0.601386,-0.029474,0.001444,-0.001386
272.100000,9.767311,0.359839,0.545486,-0.028089,0.000246,-0.002273
272.110000,9.750735,0.572180,0.491291,-0.028033,0.001355,-0.003737
272.120000,9.736902,0.649742,0.548168,-0.028692,0.000493,-0.001160
272.130000,9.713122,0.539098,0.570259,-0.029322,0.001480,-0.000714
272.140000,9.639196,0.386849,0.560967,-0.028580,0.002030,-0.002893
272.150000,9.741400,0.555643,0.499997,-0.027337,0.001403,-0.003574
272.160000,9.729202,0.647689,0.565398,-0.028428,0.000058,-0.003102
272.170000,9.767071,0.528874,0.631335,-0.029009,0.000785,-0.002603
272.180000,9.700284,0.386181,0.674567,-0.028773,0.001946,-0.003654
272.190000,9.737587,0.544527,0.560602,-0.028123,0.001562,-0.002710
272.200000,9.746233,0.737379,0.543191,-0.027904,0.001725,-0.002488
272.210000,9.724053,0.640323,0.573886,-0.029245,0.002811,-0.002041
272.220000,9.728946,0.361914,0.597782,-0.028225,0.004074,-0.002342
272.230000,9.656421,0.414382,0.605728,-0.028494,0.001676,-0.001759
272.240000,9.770575,0.623481,0.557071,-0.027077,0.001078,-0.002420
272.250000,9.789530,0.694009,0.612612,-0.027468,-0.000024,-0.002553
272.260000,9.705405,0.542625,0.722872,-0.027161,0.001675,-0.001720
272.270000,9.663740,0.365184,0.702775,-0.026540,0.001551,-0.002839
272.280000,9.744563,0.571954,0.551526,-0.026965,-0.000471,-0.003497
272.290000,9.722727,0.661594,0.528846,-0.028353,0.000580,-0.003552
272.300000,9.763930,0.592099,0.593828,-0.030202,-0.001177,-0.001993
272.310000,9.694606,0.383895,0.634680,-0.029122,-0.001270,-0.001848
272.320000,9.725786,0.493719,0.577677,-0.027265,-0.000009,-0.001988
272.330000,9.714753,0.677252,0.566036,-0.028343,-0.000361,-0.002191
272.340000,9.725982,0.651144,0.585994,-0.029447,-0.000382,-0.001694
272.350000,9.729685,0.369631,0.657372,-0.029013,0.000614,-0.001686
272.360000,9.664768,0.350431,0.628396,-0.027706,0.001342,-0.001407
272.370000,9.782702,0.604526,0.493938,-0.027460,0.001527,-0.001715
272.380000,9.752331,0.680852,0.557845,-0.028037,0.000430,-0.002271
272.390000,9.746072,0.497903,0.560898,-0.028679,0.001137,-0.001591
272.400000,9.690402,0.336422,0.580072,-0.027639,0.001829,-0.002905
272.410000,9.700182,0.521060,0.498599,-0.026455,0.000507,-0.004192
272.420000,9.719883,0.667174,0.490843,-0.027501,0.001188,-0.002338
272.430000,9.784835,0.535005,0.658322,-0.029131,-0.000516,-0.001651
272.440000,9.730103,0.345269,0.679369,-0.027682,0.001344,-0.001527
272.450000,9.714374,0.465433,0.610246,-0.027229,0.002707,-0.001938
272.460000,9.694660,0.671413,0.521051,-0.026519,0.003823,-0.003053
272.470000,9.708093,0.664634,0.513487,-0.027699,0.001985,-0.002714
272.480000,9.715403,0.395075,0.569713,-0.028264,0.001324,-0.001340
272.490000,9.696380,0.325958,0.592077,-0.027590,0.001503,-0.002112
272.500000,9.783573,0.584757,0.511276,-0.027940,0.001032,-0.002186
272.510000,9.731726,0.697516,0.605994,-0.029023,0.000678,-0.002291
272.520000,9.738354,0.549614,0.628572,-0.029202,0.001721,-0.001812
272.530000,9.664889,0.377823,0.704516,-0.028457,0.000155,-0.002900
272.540000,9.693295,0.465418,0.549675,-0.028369,0.001655,-0.004856
272.550000,9.749747,0.704104,0.532159,-0.027954,0.000781,-0.003233
272.560000,9.802344,0.619181,0.565580,-0.029414,0.001564,-0.001873
272.570000,9.747277,0.391704,0.627156,-0.029210,0.000153,-0.002543
272.580000,9.681247,0.455792,0.620905,-0.027661,0.000517,-0.004003
272.590000,9.706885,0.692560,0.509808,-0.026591,0.002039,-0.005399
272.600000,9.721378,0.675953,0.592145,-0.027548,0.001550,-0.004159
272.610000,9.732520,0.425298,0.697156,-0.027470,0.001444,-0.003029
272.620000,9.762286,0.359099,0.687579,-0.027690,-0.000299,-0.002562
272.630000,9.756090,0.597768,0.588224,-0.027263,0.001795,-0.003033
272.640000,9.670976,0.708768,0.559292,-0.027688,0.002818,-0.002992
272.650000,9.713129,0.579689,0.594616,-0.028004,0.001500,-0.002155
272.660000,9.672560,0.386910,0.595664,-0.028159,0.001399,-0.002197
272.670000,9.792363,0.489758,0.536615,-0.027445,0.000410,-0.002291
272.680000,9.697458,0.652924,0.565331,-0.028176,-0.000124,-0.002663
272.690000,9.774630,0.589093,0.658883,-0.028805,-0.000019,-0.002616
272.700000,9.792419,0.423144,0.685844,-0.028431,0.000720,-0.001155
272.710000,9.629889,0.487178,0.627801,-0.027265,0.002760,-0.003065
272.720000,9.670781,0.626687,0.522928,-0.026620,0.003240,-0.003996
272.730000,9.692913,0.659630,0.527896,-0.027211,0.000773,-0.002272
272.740000,9.748588,0.426537,0.562309,-0.027642,0.001039,-0.001912
272.750000,9.743095,0.270564,0.600218,-0.027642,0.001667,-0.001535
272.760000,9.686596,0.511308,0.574517,-0.027507,0.000069,-0.002601
272.770000,9.758389,0.756929,0.516812,-0.026682,0.000673,-0.000959
272.780000,9.744344,0.570771,0.613710,-0.026735,0.001276,-0.001394
272.790000,9.674161,0.352216,0.612440,-0.027663,0.001569,-0.002520
272.800000,9.724197,0.405972,0.557260,-0.028387,0.001278,-0.003429
272.810000,9.697129,0.626293,0.524430,-0.027694,0.000008,-0.002504
272.820000,9.771159,0.627963,0.580444,-0.028194,0.000247,-0.000702
272.830000,9.723809,0.422840,0.649130,-0.028049,0.003073,-0.000866
272.840000,9.658660,0.419658,0.596635,-0.027034,0.002252,-0.001069
272.850000,9.783076,0.632377,0.534281,-0.027299,0.000724,-0.001630
272.860000,9.688011,0.640847,0.534507,-0.028081,-0.000283,-0.002573
272.870000,9.758313,0.454489,0.604125,-0.028399,0.000143,-0.001698
272.880000,9.762271,0.363357,0.719403,-0.028081,-0.000224,-0.001449
272.890000,9.683477,0.525313,0.570477,-0.027587,0.001324,-0.002961
272.900000,9.721954,0.715146,0.560250,-0.027708,0.000365,-0.001572
272.910000,9.721712,0.596427,0.565782,-0.029136,0.001898,-0.000841
272.920000,9.778752,0.394964,0.605837,-0.029837,0.000592,-0.001260
272.930000,9.700998,0.401688,0.586093,-0.029280,0.000642,-0.002115
272.940000,9.696708,0.612973,0.563097,-0.028567,-0.000014,-0.001691
272.950000,9.796835,0.703463,0.626415,-0.028352,-0.000163,-0.000564
272.960000,9.721073,0.478881,0.616838,-0.027704,0.000602,-0.001766
272.970000,9.695300,0.350559,0.665290,-0.027184,-0.001009,-0.003066
272.980000,9.732355,0.581583,0.527174,-0.027295,0.000883,-0.003431
272.990000,9.710618,0.727240,0.510337,-0.027668,0.001323,-0.002629
273.000000,9.793041,0.510582,0.625208,-0.029083,0.000425,-0.001131
273.010000,9.637958,0.295494,0.635485,-0.028613,0.004700,-0.000916
273.020000,9.748889,0.474338,0.590309,-0.027804,0.000970,-0.002424
273.030000,9.779384,0.721888,0.550995,-0.028387,-0.000566,-0.001406
273.040000,9.663345,0.631162,0.585872,-0.028621,0.000110,-0.001637
273.050000,9.729467,0.389111,0.634704,-0.027276,0.001010,-0.002599
273.060000,9.674376,0.371060,0.602901,-0.027771,0.001663,-0.003399
273.070000,9.760345,0.590502,0.516835,-0.028267,0.000313,-0.001731
273.080000,9.777546,0.653989,0.615373,-0.028346,0.001878,-0.001294
273.090000,9.666013,0.473667,0.619878,-0.028924,0.004486,-0.001937
273.100000,9.693020,0.426435,0.578642,-0.028643,0.001508,-0.002492
273.110000,9.712634,0.585086,0.497197,-0.027104,0.000863,-0.003566
273.120000,9.749927,0.633970,0.589377,-0.028323,0.000211,-0.002420
273.130000,9.741486,0.510867,0.667833,-0.027745,0.002034,-0.003206
273.140000,9.657287,0.333393,0.650896,-0.027739,0.002347,-0.003381
273.150000,9.858745,0.559091,0.594996,-0.028076,-0.000707,-0.003078
273.160000,9.672074,0.699847,0.500333,-0.026552,0.002437,-0.004743
273.170000,9.739577,0.659602,0.578537,-0.027288,0.000144,-0.002571
273.180000,9.688480,0.331568,0.568561,-0.027336,0.002426,-0.003171
273.190000,9.684975,0.388597,0.571322,-0.028679,-0.000129,-0.001881
273.200000,9.847091,0.622551,0.578404,-0.028524,-0.001083,-0.002271
273.210000,9.734210,0.653850,0.650138,-0.029256,0.000018,-0.002059
273.220000,9.731818,0.528483,0.630878,-0.028567,0.001810,-0.001232
273.230000,9.678288,0.424243,0.587706,-0.026736,0.003360,-0.002691
273.240000,9.705076,0.563749,0.514747,-0.027784,0.002297,-0.002403
273.250000,9.791133,0.622698,0.560269,-0.028413,0.000821,-0.002596
273.260000,9.743668,0.496209,0.587494,-0.027912,0.003432,-0.001916
273.270000,9.688426,0.393445,0.622523,-0.027880,0.002810,-0.002010
273.280000,9.708924,0.558256,0.561862,-0.026859,-0.000009,-0.002441
273.290000,9.667038,0.666387,0.574771,-0.027816,0.000361,-0.003047
273.300000,9.827495,0.608935,0.613258,-0.028462,0.002006,-0.002490
273.310000,9.648453,0.330634,0.615579,-0.027595,0.005128,-0.003101
273.320000,9.713968,0.392552,0.577023,-0.027594,0.002667,-0.002683
273.330000,9.787104,0.663729,0.557996,-0.028653,0.000941,-0.001143
273.340000,9.671483,0.692349,0.562972,-0.029391,0.001455,-0.000989
273.350000,9.721006,0.491684,0.593099,-0.028230,0.000594,-0.002099
273.360000,9.612716,0.389626,0.553982,-0.028005,0.001051,-0.002730
273.370000,9.731992,0.468508,0.515875,-0.027527,-0.000575,-0.002634
273.380000,9.769372,0.585024,0.614625,-0.028103,0.000165,-0.001933
273.390000,9.706966,0.481858,0.655717,-0.028285,0.001194,-0.001772
273.400000,9.697727,0.463945,0.628363,-0.028827,0.001445,-0.001283
273.410000,9.728002,0.579836,0.515936,-0.029536,0.000596,-0.001494
273.420000,9.733658,0.639781,0.533836,-0.028660,-0.000953,-0.002327
273.430000,9.743934,0.501101,0.563984,-0.028153,0.000524,-0.002941
273.440000,9.645959,0.333960,0.596304,-0.027325,0.001264,-0.003982
273.450000,9.798474,0.480044,0.595824,-0.027756,0.000255,-0.002946
273.460000,9.733019,0.663397,0.579428,-0.027840,0.003012,-0.002166
273.470000,9.770339,0.674944,0.684592,-0.028603,0.001444,-0.001716
273.480000,9.684121,0.378501,0.622649,-0.028564,0.003554,-0.002265
273.490000,9.695862,0.382136,0.538754,-0.027800,0.002813,-0.001243
273.500000,9.813708,0.579056,0.523041,-0.027991,0.000465,-0.001862
273.510000,9.705470,0.638689,0.584379,-0.028574,0.001575,-0.001993
273.520000,9.738119,0.521395,0.622694,-0.029370,-0.000419,-0.001396
273.530000,9.673277,0.415902,0.626630,-0.028086,0.001971,-0.002878
273.540000,9.731310,0.578990,0.535983,-0.027135,0.003455,-0.003310
273.550000,9.764810,0.648468,0.578625,-0.027444,0.001701,-0.002920
273.560000,9.728328,0.513822,0.607469,-0.028035,0.001068,-0.001876
273.570000,9.695118,0.371428,0.631848,-0.028524,0.000315,-0.001957
273.580000,9.719578,0.516951,0.552236,-0.028266,0.002226,-0.002349
273.590000,9.733675,0.705128,0.550720,-0.028663,0.001721,-0.002712
273.600000,9.812838,0.657316,0.589824,-0.028252,0.001031,-0.003016
273.610000,9.615040,0.390511,0.608139,-0.028217,0.001304,-0.003289
273.620000,9.678984,0.390932,0.568957,-0.028253,0.000181,-0.002431
273.630000,9.813071,0.650396,0.486516,-0.027263,0.000424,-0.002291
273.640000,9.699943,0.655134,0.628606,-0.028235,0.001209,-0.001840
273.650000,9.758169,0.518899,0.655927,-0.029037,0.000500,-0.001000
273.660000,9.645787,0.389640,0.606527,-0.029190,0.001021,-0.002186
